taxa	Abundance
k__Fungi	3760.5
k__Fungi|p__Ascomycota	3726.5
k__Fungi|p__Basidiomycota	34.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes	75.0
k__Fungi|p__Ascomycota|c__Saccharomycetes	3603.0
k__Fungi|p__Ascomycota|c__Sordariomycetes	48.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	34.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	75.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	3603.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	48.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	34.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	75.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	1557.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae	137.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	1908.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae	48.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	34.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus	75.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida	1506.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces	51.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae|g__Yarrowia	137.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kazachstania	2.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kluyveromyces	31.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Naumovozyma	2.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	1873.0
