,MockCommunity,GeneratedReads,NumSpecies,NumGenera,NumFamily,TDSpecies,TDGenera,TDFamily,FDSpecies,FDGenera,FDFamily,RecallSpecies,PrecisionSpecies,RecallGenera,PrecisionGenera,RecallFamily,PrecisionFamily
0,small_1,1000000.0,10.0,9.0,6.0,7.0,8.0,5.0,2.0,0.0,1.0,70.0,77.77777777777779,88.88888888888889,100.0,83.33333333333334,83.33333333333334
1,median_2,5000000.0,50.0,37.0,25.0,14.0,15.0,9.0,7.0,2.0,0.0,28.000000000000004,66.66666666666666,40.54054054054054,88.23529411764706,36.0,100.0
2,median_1,5000000.0,50.0,33.0,22.0,22.0,18.0,11.0,10.0,3.0,0.0,44.0,68.75,54.54545454545454,85.71428571428571,50.0,100.0
3,small_3,1000000.0,10.0,9.0,7.0,8.0,7.0,5.0,1.0,0.0,0.0,80.0,88.88888888888889,77.77777777777779,100.0,71.42857142857143,100.0
4,small_2,1000000.0,10.0,9.0,6.0,6.0,6.0,4.0,1.0,1.0,0.0,60.0,85.71428571428571,66.66666666666666,85.71428571428571,66.66666666666666,100.0
5,large_2,10000000.0,100.0,59.0,33.0,39.0,27.0,13.0,13.0,4.0,2.0,39.0,75.0,45.76271186440678,87.09677419354838,39.39393939393939,86.66666666666667
6,complete_1,16500000.0,165.0,89.0,50.0,52.0,35.0,15.0,11.0,3.0,1.0,31.515151515151512,82.53968253968253,39.325842696629216,92.10526315789474,30.0,93.75
7,median_3,5000000.0,50.0,36.0,20.0,22.0,19.0,9.0,4.0,1.0,0.0,44.0,84.61538461538461,52.77777777777778,95.0,45.0,100.0
8,large_1,10000000.0,100.0,67.0,44.0,38.0,29.0,15.0,11.0,3.0,0.0,38.0,77.55102040816327,43.28358208955223,90.625,34.090909090909086,100.0
