taxa	Abundance
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales|f__Pneumocystidaceae|g__Pneumocystis	15.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida	1822.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces	74.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Lodderomyces	55.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Priceomyces	21.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Scheffersomyces	29.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae|g__Yarrowia	2.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Lipomycetaceae|g__Lipomyces	25.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Metschnikowiaceae|g__Metschnikowia	18.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae|g__Komagataella	162.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae|g__Wickerhamomyces	78.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Ogataea	43.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia	66.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Eremothecium	49.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kazachstania	1.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kluyveromyces	106.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Nakaseomyces	67.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Naumovozyma	2.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	1792.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Tetrapisispora	17.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__unclassified Saccharomycetaceae	2.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetales incertae sedis|g__Kuraishia	25.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Verticillium	32.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Neurospora	18.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Sordaria	7.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia	153.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__environmental samples	2.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae|g__Cryptococcus	43.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae|g__Kwoniella	11.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes|o__Wallemiales|f__Wallemiaceae|g__Wallemia	103.0
k__Fungi|p__Microsporidia|c__Microsporidia incertae sedis|o__Microsporidia incertae sedis|f__Unikaryonidae|g__Encephalitozoon	71.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mycotyphaceae|g__Mycotypha	1.0
k__Fungi|p__Ascomycota|c__|o__|f__|g__|s__ 	4.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Sporormiaceae|g__Westerdykella|s__Westerdykella ornata	11.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Cladophialophora|s__Cladophialophora bantiana	9.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Cladophialophora|s__Cladophialophora carrionii	14.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Cladophialophora|s__Cladophialophora psammophila	3.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Cladophialophora|s__Cladophialophora yegresii	3.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Fonsecaea|s__Fonsecaea erecta	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Fonsecaea|s__Fonsecaea monophora	6.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Fonsecaea|s__Fonsecaea nubica	8.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Fonsecaea|s__Fonsecaea pedrosoi	2.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Fonsecaea|s__Fonsecaea pugnacius	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Phialophora|s__Phialophora americana	16.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus astellatus	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus awamori	5.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus brasiliensis	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus costaricaensis	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus eucalypticola	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus kawachii	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus luchuensis	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus neoniger	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus niger	59.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus phoenicis	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus piperis	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus shendaweii	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus tubingensis	3.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus vadensis	2.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus welwitschiae	8.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium camemberti	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium chrysogenum	75.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium expansum	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium flavigenum	5.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium griseofulvum	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium lancoscoeruleum	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium paneum	8.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium polonicum	3.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium roqueforti	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium rubens	8.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium solitum	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium sp.	13.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Thermoascaceae|g__Byssochlamys|s__Byssochlamys spectabilis	15.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Thermoascaceae|g__Paecilomyces|s__Paecilomyces variotii	15.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Blastomyces|s__Blastomyces dermatitidis	16.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Blastomyces|s__Blastomyces emzantsi	3.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Blastomyces|s__Blastomyces parvus	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Blastomyces|s__Blastomyces percursus	12.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Coccidioides|s__Coccidioides immitis	19.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Coccidioides|s__Coccidioides posadasii	7.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Paracoccidioides|s__Paracoccidioides brasiliensis	20.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Paracoccidioides|s__Paracoccidioides lutzii	3.0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizaceae|g__Tirmania|s__Tirmania nivea	1.0
