,MockCommunity,GeneratedReads,NumSpecies,NumGenera,NumFamily,ClassifiedReads,UnclassifiedReads,TDSpecies,TDGenera,TDFamily,FDSpecies,FDGenera,FDFamily,RecallSpecies,PrecisionSpecies,RecallGenera,PrecisionGenera,RecallFamily,PrecisionFamily
0,small_2,1000000.0,10.0,9.0,6.0,1281044.0,0.0,6.0,6.0,4.0,9.0,3.0,0.0,60.0,40.0,66.66666666666666,66.66666666666666,66.66666666666666,100.0
1,median_3,5000000.0,50.0,36.0,20.0,4471630.0,3.0,22.0,20.0,9.0,25.0,9.0,0.0,44.0,46.808510638297875,55.55555555555556,68.96551724137932,45.0,100.0
2,small_3,1000000.0,10.0,9.0,7.0,1495669.0,0.0,8.0,8.0,6.0,13.0,3.0,0.0,80.0,38.095238095238095,88.88888888888889,72.72727272727273,85.71428571428571,100.0
3,large_2,10000000.0,100.0,59.0,33.0,8331947.0,187618.0,39.0,28.0,13.0,31.0,13.0,1.0,39.0,55.714285714285715,47.45762711864407,68.29268292682927,39.39393939393939,92.85714285714286
4,large_1,10000000.0,100.0,67.0,44.0,8295474.0,7.0,38.0,30.0,17.0,32.0,17.0,0.0,38.0,54.285714285714285,44.776119402985074,63.829787234042556,38.63636363636363,100.0
5,median_2,5000000.0,50.0,37.0,25.0,3578600.0,29.0,14.0,17.0,12.0,37.0,16.0,0.0,28.000000000000004,27.450980392156865,45.94594594594595,51.515151515151516,48.0,100.0
6,small_1,1000000.0,10.0,9.0,6.0,1329635.0,187523.0,7.0,9.0,5.0,16.0,6.0,1.0,70.0,30.434782608695656,100.0,60.0,83.33333333333334,83.33333333333334
7,complete_1,16500000.0,165.0,89.0,50.0,11226657.0,187661.0,51.0,34.0,14.0,29.0,15.0,1.0,30.909090909090907,63.74999999999999,38.20224719101123,69.38775510204081,28.000000000000004,93.33333333333333
8,median_1,5000000.0,50.0,33.0,22.0,4979132.0,0.0,22.0,19.0,13.0,27.0,14.0,0.0,44.0,44.89795918367347,57.57575757575758,57.57575757575758,59.09090909090909,100.0
