MockCommunity	GeneratedReads	NumSpecies	NumGenera	NumFamily	ClassifiedEukaryota	ClassifiedBacteria	ClassifiedViruses	ClassifiedHuman	TDSpecies	TDGenera	TDFamily	FDSpecies	FDGenera	FDFamily	PropEukaryota	PropHuman	PropBacteria	PropViruses	PropUnclassified	RecallSpecies	PrecisionSpecies	RecallGenera	PrecisionGenera	RecallFamily	PrecisionFamily	Tool	ComType	ClassifiedReads	UnclassifiedReads
large_2_EC	28604376.0	100.0	59.0	33.0					55.0	52.0	27.0	6.0	2.0	0.0	1.2584228371211452				98.74157716287884	55.00000000000001	90.1639344262295	88.13559322033898	96.29629629629628	81.81818181818183	100.0	eukdetect	EqualCoverage	359964.0	28244412.0
small_3_EC	2764682.0	10.0	9.0	7.0					7.0	8.0	6.0	2.0	0.0	0.0	1.6741527597025625				98.32584724029743	70.0	77.77777777777779	88.88888888888889	100.0	85.71428571428571	100.0	eukdetect	EqualCoverage	46285.0	2718397.0
median_1_EC	14026914.0	50.0	33.0	22.0					33.0	31.0	19.0	6.0	3.0	2.0	1.3004784944143808				98.69952150558562	66.0	84.61538461538461	93.93939393939394	91.17647058823528	86.36363636363636	90.47619047619048	eukdetect	EqualCoverage	182417.0	13844497.0
small_1_EC	2329085.0	10.0	9.0	6.0					8.0	8.0	6.0	0.0	0.0	0.0	2.04749933986952				97.95250066013048	80.0	100.0	88.88888888888889	100.0	100.0	100.0	eukdetect	EqualCoverage	47688.0	2281397.0
complete_1_EC	48355529.0	165.0	90.0	50.0					85.0	76.0	38.0	8.0	5.0	2.0	1.1180396764969731				98.88196032350302	51.51515151515152	91.39784946236558	84.44444444444444	93.82716049382717	76.0	95.0	eukdetect	EqualCoverage	540634.0	47814895.0
small_2_EC	2386135.0	10.0	9.0	6.0					9.0	9.0	4.0	0.0	0.0	0.0	2.2789154846645308				97.72108451533546	90.0	100.0	100.0	100.0	66.66666666666666	100.0	eukdetect	EqualCoverage	54378.0	2331757.0
median_2_EC	14050238.0	50.0	37.0	25.0					31.0	31.0	20.0	7.0	1.0	0.0	1.443399037083927				98.55660096291608	62.0	81.57894736842105	83.78378378378379	96.875	80.0	100.0	eukdetect	EqualCoverage	202801.0	13847437.0
median_3_EC	12163378.0	50.0	36.0	20.0					32.0	31.0	15.0	6.0	3.0	2.0	1.667225995936326				98.33277400406368	64.0	84.21052631578947	86.11111111111111	91.17647058823528	75.0	88.23529411764706	eukdetect	EqualCoverage	202791.0	11960587.0
large_1_EC	28167862.0	100.0	67.0	44.0					64.0	60.0	35.0	8.0	4.0	1.0	1.4067556849007568				98.59324431509924	64.0	88.88888888888889	89.55223880597015	93.75	79.54545454545455	97.2222222222222	eukdetect	EqualCoverage	396253.0	27771609.0
small_2	1000000.0	10.0	9.0	6.0					3.0	5.0	3.0	24.0	12.0	3.0						30.0	11.11111111111111	55.55555555555556	29.411764705882355	50.0	50.0	HMS	EqualReads	422173.0	194178.0
median_3	5000000.0	50.0	36.0	20.0					19.0	15.0	8.0	24.0	10.0	1.0						38.0	44.18604651162791	41.66666666666667	60.0	40.0	88.88888888888889	HMS	EqualReads	3845709.0	194274.0
small_3	1000000.0	10.0	9.0	7.0					4.0	6.0	6.0	26.0	11.0	0.0						40.0	13.333333333333334	66.66666666666666	35.294117647058826	85.71428571428571	100.0	HMS	EqualReads	777206.0	114.0
large_2	10000000.0	100.0	59.0	33.0					28.0	23.0	17.0	42.0	12.0	1.0						28.000000000000004	40.0	38.983050847457626	65.71428571428571	51.51515151515152	94.44444444444444	HMS	EqualReads	6006426.0	195714.0
large_1	10000000.0	100.0	67.0	44.0					26.0	23.0	17.0	39.0	14.0	1.0						26.0	40.0	34.32835820895522	62.16216216216216	38.63636363636363	94.44444444444444	HMS	EqualReads	4663577.0	194996.0
median_2	5000000.0	50.0	37.0	25.0					10.0	14.0	11.0	53.0	17.0	0.0						20.0	15.873015873015872	37.83783783783784	45.16129032258064	44.0	100.0	HMS	EqualReads	2323886.0	836.0
small_1	1000000.0	10.0	9.0	6.0					3.0	6.0	5.0	16.0	6.0	0.0						30.0	15.789473684210526	66.66666666666666	50.0	83.33333333333334	100.0	HMS	EqualReads	631273.0	6.0
complete_1	16500000.0	165.0	90.0	50.0					38.0	28.0	20.0	35.0	12.0	0.0						23.03030303030303	52.05479452054794	31.11111111111111	70.0	40.0	100.0	HMS	EqualReads	7887930.0	1842.0
median_1	5000000.0	50.0	33.0	22.0					11.0	13.0	12.0	43.0	17.0	0.0						22.0	20.37037037037037	39.39393939393939	43.333333333333336	54.54545454545454	100.0	HMS	EqualReads	2588391.0	991.0
median_3_EC	12163378.0	50.0	36.0	20.0					19.0	15.0	8.0	28.0	13.0	1.0						38.0	40.42553191489361	41.66666666666667	53.57142857142857	40.0	88.88888888888889	HMS	EqualCoverage	9893178.0	776470.0
small_1_EC	2329085.0	10.0	9.0	6.0					2.0	4.0	4.0	13.0	4.0	0.0						20.0	13.333333333333334	44.44444444444444	50.0	66.66666666666666	100.0	HMS	EqualCoverage	1237132.0	0.0
median_1_EC	14026914.0	50.0	33.0	22.0					2.0	6.0	3.0	14.0	6.0	0.0						4.0	12.5	18.181818181818183	50.0	13.636363636363637	100.0	HMS	EqualCoverage	704147.0	0.0
small_2_EC	2386135.0	10.0	9.0	6.0					3.0	5.0	3.0	27.0	13.0	3.0						30.0	10.0	55.55555555555556	27.77777777777778	50.0	50.0	HMS	EqualCoverage	629110.0	775722.0
small_3_EC	2764682.0	10.0	9.0	7.0					4.0	6.0	6.0	28.0	11.0	0.0						40.0	12.5	66.66666666666666	35.294117647058826	85.71428571428571	100.0	HMS	EqualCoverage	2084111.0	1209.0
median_2_EC	14050238.0	50.0	37.0	25.0					10.0	14.0	11.0	60.0	20.0	1.0						20.0	14.285714285714285	37.83783783783784	41.17647058823529	44.0	91.66666666666666	HMS	EqualCoverage	6702136.0	7451.0
small_2	1000000.0	10.0	9.0	6.0					8.0	9.0	4.0	12.0	3.0	2.0						80.0	40.0	100.0	75.0	66.66666666666666	66.66666666666666	funomic	EqualReads		
median_3	5000000.0	50.0	36.0	20.0					40.0	35.0	17.0	89.0	10.0	7.0						80.0	31.00775193798449	97.2222222222222	77.77777777777779	85.0	70.83333333333334	funomic	EqualReads		
small_3	1000000.0	10.0	9.0	7.0					8.0	9.0	7.0	22.0	5.0	2.0						80.0	26.666666666666668	100.0	64.28571428571429	100.0	77.77777777777779	funomic	EqualReads		
large_2	10000000.0	100.0	59.0	33.0					77.0	57.0	31.0	190.0	22.0	7.0						77.0	28.83895131086142	96.61016949152544	72.15189873417721	93.93939393939394	81.57894736842105	funomic	EqualReads		
large_1	10000000.0	100.0	67.0	44.0					74.0	64.0	39.0	182.0	24.0	8.0						74.0	28.90625	95.52238805970148	72.72727272727273	88.63636363636364	82.97872340425532	funomic	EqualReads		
median_2	5000000.0	50.0	37.0	25.0					39.0	35.0	24.0	118.0	11.0	3.0						78.0	24.840764331210192	94.5945945945946	76.08695652173914	96.0	88.88888888888889	funomic	EqualReads		
small_1	1000000.0	10.0	9.0	6.0					9.0	9.0	6.0	33.0	2.0	0.0						90.0	21.428571428571427	100.0	81.81818181818183	100.0	100.0	funomic	EqualReads		
complete_1	16500000.0	165.0	90.0	50.0					127.0	85.0	44.0	252.0	32.0	10.0						76.96969696969697	33.50923482849604	94.44444444444444	72.64957264957265	88.0	81.48148148148148	funomic	EqualReads		
median_1	5000000.0	50.0	33.0	22.0					40.0	31.0	19.0	145.0	18.0	8.0						80.0	21.62162162162162	93.93939393939394	63.26530612244898	86.36363636363636	70.37037037037037	funomic	EqualReads		
median_3_EC	12163378.0	50.0	36.0	20.0					40.0	35.0	17.0	103.0	15.0	10.0						80.0	27.972027972027973	97.2222222222222	70.0	85.0	62.96296296296296	funomic	EqualCoverage		
small_1_EC	2329085.0	10.0	9.0	6.0					9.0	9.0	6.0	43.0	7.0	2.0						90.0	17.307692307692307	100.0	56.25	100.0	75.0	funomic	EqualCoverage		
median_1_EC	14026914.0	50.0	33.0	22.0					40.0	31.0	19.0	186.0	31.0	12.0						80.0	17.699115044247787	93.93939393939394	50.0	86.36363636363636	61.29032258064516	funomic	EqualCoverage		
small_2_EC	2386135.0	10.0	9.0	6.0					8.0	9.0	4.0	15.0	4.0	2.0						80.0	34.78260869565217	100.0	69.23076923076923	66.66666666666666	66.66666666666666	funomic	EqualCoverage		
large_1_EC	28167862.0	100.0	67.0	44.0					74.0	64.0	39.0	239.0	52.0	19.0						74.0	23.642172523961666	95.52238805970148	55.172413793103445	88.63636363636364	67.24137931034483	funomic	EqualCoverage		
large_2_EC	28604376.0	100.0	59.0	33.0					77.0	57.0	31.0	229.0	38.0	14.0						77.0	25.163398692810457	96.61016949152544	60.0	93.93939393939394	68.88888888888889	funomic	EqualCoverage		
complete_1_EC	48355529.0	165.0	90.0	50.0					127.0	85.0	44.0	291.0	48.0	18.0						76.96969696969697	30.38277511961722	94.44444444444444	63.90977443609023	88.0	70.96774193548387	funomic	EqualCoverage		
