Tool,Level,Hst,Pval,FDRp
kraken_vs_metaphlan,Species,25.698388114495515,3.991603095610767e-07,1.1974809286832301e-06
kraken_vs_eukdetect,Species,26.304123711340196,2.9166525205930263e-07,1.1974809286832301e-06
kraken_vs_HMS,Species,0.0013085015426829068,0.9711442426878375,0.9711442426878375
metaphlan_vs_eukdetect,Species,23.801003584229367,1.0682674823557085e-06,2.136534964711417e-06
metaphlan_vs_HMS,Species,17.94209115281501,2.2772870805793886e-05,4.099116745042899e-05
eukdetect_vs_HMS,Species,23.839464882943133,1.0471340448710441e-06,2.136534964711417e-06
kraken_vs_metaphlan,Genus,2.9279628195197525,0.08705728208896649,0.10446873850675978
kraken_vs_eukdetect,Genus,26.33466649464584,2.8708909149784287e-07,1.1974809286832301e-06
kraken_vs_HMS,Genus,6.598363825673057,0.010207252406268026,0.014133118716371114
metaphlan_vs_eukdetect,Genus,26.36868621625112,2.8207665899141246e-07,1.1974809286832301e-06
metaphlan_vs_HMS,Genus,0.011800201139795678,0.9134969717689778,0.9672320877553883
eukdetect_vs_HMS,Genus,23.875397755819787,1.0277688826220717e-06,2.136534964711417e-06
kraken_vs_metaphlan,Family,0.6781604253550609,0.4102208956025464,0.4614985075528647
kraken_vs_eukdetect,Family,26.32108317214699,2.891152979641091e-07,1.1974809286832301e-06
kraken_vs_HMS,Family,13.89351340290565,0.0001934650111741023,0.00031657910919398555
metaphlan_vs_eukdetect,Family,25.705023381243386,3.9779026969776736e-07,1.1974809286832301e-06
metaphlan_vs_HMS,Family,4.564055574179612,0.03264967148717578,0.04197814905494028
eukdetect_vs_HMS,Family,10.62552406506791,0.0011153735457102541,0.0016730603185653812
