Tool,Level,Hst,Pval,FDRp
kraken_vs_eukdetect,Species,3.745786665457446,0.052940801500332126,0.08823466916722021
kraken_vs_metaphlan,Species,8.719352465047832,0.0031484984869426017,0.01012017370802979
kraken_vs_HMS,Species,0.04942084942083432,0.824074120340606,0.8829365575077921
kraken_vs_funomic,Species,11.621327888288763,0.0006519983604024325,0.0029339926218109463
kraken_vs_micop,Species,0.0002619133141724339,0.987087810477444,0.987087810477444
eukdetect_vs_metaphlan,Species,14.652851070067435,0.00012923900237279474,0.0008308221581108233
eukdetect_vs_HMS,Species,2.3008146203946684,0.1293061666395492,0.18183679683686604
eukdetect_vs_funomic,Species,18.00328593445579,2.205239867711669e-05,0.00024808948511756277
eukdetect_vs_micop,Species,2.2144480325319944,0.1367239544745836,0.18627190186462247
metaphlan_vs_HMS,Species,2.515567641060499,0.11272703542861424,0.16909055314292137
metaphlan_vs_funomic,Species,1.2909185360785405,0.25587874515569164,0.31984843144461456
metaphlan_vs_micop,Species,4.544376473310479,0.03302704884076217,0.06192571657642907
HMS_vs_funomic,Species,4.447178562710066,0.034958959331490805,0.06292612679668344
HMS_vs_micop,Species,0.07580978635422811,0.7830582854170451,0.8594542157016349
funomic_vs_micop,Species,6.644531249999997,0.009946064303209911,0.022378644682222303
kraken_vs_eukdetect,Genus,3.1235367029334804,0.07716912531407416,0.1197451944528737
kraken_vs_metaphlan,Genus,21.529484832635983,3.4843010190737726e-06,5.226451528610659e-05
kraken_vs_HMS,Genus,6.371085266832529,0.011599463591771542,0.02485599341093902
kraken_vs_funomic,Genus,11.302227494398315,0.0007741415996525324,0.0031669429076694507
kraken_vs_micop,Genus,0.001048642008598492,0.9741668248001752,0.987087810477444
eukdetect_vs_metaphlan,Genus,26.05060943296238,3.325838531121156e-07,1.4966273390045201e-05
eukdetect_vs_HMS,Genus,11.768029222473466,0.0006025674119841038,0.0029339926218109463
eukdetect_vs_funomic,Genus,17.13623725671918,3.4792124352275366e-05,0.0003131291191704783
eukdetect_vs_micop,Genus,2.3387491513113234,0.12619084620835966,0.18183679683686604
metaphlan_vs_HMS,Genus,2.169863013698627,0.14073877029771475,0.18627190186462247
metaphlan_vs_funomic,Genus,0.561254119662586,0.4537553796223026,0.5235638995641954
metaphlan_vs_micop,Genus,8.833880499015097,0.0029568896978951847,0.01012017370802979
HMS_vs_funomic,Genus,1.3982437336642781,0.23701784828339012,0.3047372335072159
HMS_vs_micop,Genus,3.893752133834059,0.04846603118164355,0.08388351550669076
funomic_vs_micop,Genus,6.661879895561356,0.009849695426148913,0.022378644682222303
kraken_vs_eukdetect,Family,7.648216293570457,0.005682848373940185,0.015864991744091363
kraken_vs_metaphlan,Family,12.923154774813844,0.00032454242093862807,0.0018255511177797828
kraken_vs_HMS,Family,7.552273411622983,0.0059934413255456264,0.015864991744091363
kraken_vs_funomic,Family,0.9158707313881908,0.33856152432087017,0.4009281209062936
kraken_vs_micop,Family,0.02072368421052985,0.8855342428901224,0.926721882094314
eukdetect_vs_metaphlan,Family,23.0496678151395,1.5786978268153545e-06,3.5520701103345477e-05
eukdetect_vs_HMS,Family,16.077609799369597,6.0798646219534504e-05,0.0004559898466465088
eukdetect_vs_funomic,Family,10.486665503351814,0.0012023917925336179,0.004508969222001067
eukdetect_vs_micop,Family,6.916780555188155,0.008539057180332868,0.021347642950832166
metaphlan_vs_HMS,Family,0.1191888494944204,0.7299159181013872,0.8211554078640607
metaphlan_vs_funomic,Family,5.996676780812017,0.014332851544616344,0.029317196341260704
metaphlan_vs_micop,Family,7.730573946658591,0.005429348804384833,0.015864991744091363
HMS_vs_funomic,Family,3.3606169511829744,0.06677304834395392,0.10731382769564023
HMS_vs_micop,Family,5.760540997464068,0.016390024573678063,0.03206743938328317
funomic_vs_micop,Family,1.1061773540551092,0.29291441899281845,0.35624726634261705
