Tool,Level,Hst,Pval,FDRp
kraken_vs_metaphlan,Species,26.344863190500764,2.8557742207040454e-07,1.2079124917402708e-06
kraken_vs_eukdetect,Species,26.30073444143795,2.921775450850962e-07,1.2079124917402708e-06
kraken_vs_HMS,Species,0.0013085015426829068,0.9711442426878375,0.9711442426878375
kraken_vs_funomic,Species,22.539927872230795,2.058208244163885e-06,4.209971408517038e-06
kraken_vs_micop,Species,26.297346044833795,2.9269060771321925e-07,1.2079124917402708e-06
metaphlan_vs_eukdetect,Species,25.050244412907286,5.585567480168403e-07,1.7953609757684154e-06
metaphlan_vs_HMS,Species,18.560738754840614,1.6457544372238556e-05,3.0857895697947296e-05
metaphlan_vs_funomic,Species,4.110150661563361,0.04262656496109083,0.04918449803202788
metaphlan_vs_micop,Species,13.039215686274508,0.00030503581453761433,0.0004733314363514705
eukdetect_vs_HMS,Species,23.835479016886797,1.049304553324917e-06,2.2964591918627313e-06
eukdetect_vs_funomic,Species,26.280417149478552,2.952674979809551e-07,1.2079124917402708e-06
eukdetect_vs_micop,Species,8.481204729594323,0.003588343928297825,0.00489319626586067
HMS_vs_funomic,Species,15.816993464052274,6.977303581413638e-05,0.00011628839302356063
HMS_vs_micop,Species,23.831494483450342,1.051478845676959e-06,2.2964591918627313e-06
funomic_vs_micop,Species,25.312821833161696,4.874576609255001e-07,1.6873534416651929e-06
kraken_vs_metaphlan,Genus,2.9279628195197525,0.08705728208896649,0.09793944235008731
kraken_vs_eukdetect,Genus,26.33466649464584,2.8708909149784287e-07,1.2079124917402708e-06
kraken_vs_HMS,Genus,6.598363825673057,0.010207252406268026,0.012414225899515168
kraken_vs_funomic,Genus,26.297346044833795,2.9269060771321925e-07,1.2079124917402708e-06
kraken_vs_micop,Genus,26.30073444143795,2.921775450850962e-07,1.2079124917402708e-06
metaphlan_vs_eukdetect,Genus,26.36868621625112,2.8207665899141246e-07,1.2079124917402708e-06
metaphlan_vs_HMS,Genus,0.011800201139795678,0.9134969717689778,0.9342582665819091
metaphlan_vs_funomic,Genus,23.794862974429517,1.071680956202608e-06,2.2964591918627313e-06
metaphlan_vs_micop,Genus,20.233661606387727,6.853628746493127e-06,1.3409273634443077e-05
eukdetect_vs_HMS,Genus,23.875397755819787,1.0277688826220717e-06,2.2964591918627313e-06
eukdetect_vs_funomic,Genus,24.715024422385518,6.646402707635521e-07,1.993920812290656e-06
eukdetect_vs_micop,Genus,10.06962425916334,0.0015073376877574932,0.002119693623408975
HMS_vs_funomic,Genus,23.831494483450342,1.051478845676959e-06,2.2964591918627313e-06
HMS_vs_micop,Genus,23.835479016886797,1.049304553324917e-06,2.2964591918627313e-06
funomic_vs_micop,Genus,1.2977983777520217,0.2546157671498094,0.27280260766051007
kraken_vs_metaphlan,Family,0.6781604253550609,0.4102208956025464,0.42930093725847873
kraken_vs_eukdetect,Family,26.32108317214699,2.891152979641091e-07,1.2079124917402708e-06
kraken_vs_HMS,Family,13.89351340290565,0.0001934650111741023,0.00031092591081552156
kraken_vs_funomic,Family,26.307513854878195,2.911537276920819e-07,1.2079124917402708e-06
kraken_vs_micop,Family,26.307513854878195,2.911537276920819e-07,1.2079124917402708e-06
metaphlan_vs_eukdetect,Family,25.705023381243386,3.9779026969776736e-07,1.4917135113666277e-06
metaphlan_vs_HMS,Family,4.564055574179612,0.03264967148717578,0.03866408465586605
metaphlan_vs_funomic,Family,17.468419695797884,2.9212007099735073e-05,5.258161277952313e-05
metaphlan_vs_micop,Family,15.932903225806447,6.562787062036493e-05,0.00011358669915063163
eukdetect_vs_HMS,Family,10.62552406506791,0.0011153735457102541,0.0016190906308697238
eukdetect_vs_funomic,Family,7.247155589946396,0.007101341248071589,0.009130295890377758
eukdetect_vs_micop,Family,10.753420237480636,0.0010408677799803214,0.0015613016699704823
HMS_vs_funomic,Family,6.976505811250588,0.008258670114695691,0.010323337643369613
HMS_vs_micop,Family,7.364016736401665,0.0066541977084723465,0.00880702637886046
funomic_vs_micop,Family,1.3723131560481698,0.241414848787507,0.2649675169618979
