Mock_community,Tool,Level,AvgRelAb,MAE,RMSE
small_1b,eukdetect,Species,9,3,4
small_1b,eukdetect,Genus,11,3,4
small_1b,eukdetect,Family,16,5,7
small_2b,eukdetect,Species,9,1,2
small_2b,eukdetect,Genus,11,2,4
small_2b,eukdetect,Family,22,5,5
small_3b,eukdetect,Species,12,1,2
small_3b,eukdetect,Genus,11,2,3
small_3b,eukdetect,Family,15,3,4
