Profile,ComType,Genus,NumSpecies,InclSpecies,Tool,SpeciesDet,MissedSp,GenusDetected
median_1,EqualReads,Aspergillus,4,"['Aspergillus terreus', 'Aspergillus thermomutatus', 'Aspergillus glaucus', 'Aspergillus tubingensis']",FunOMIC,4,[],Yes
median_1,EqualReads,Aspergillus,4,"['Aspergillus terreus', 'Aspergillus thermomutatus', 'Aspergillus glaucus', 'Aspergillus tubingensis']",MiCoP,2,"['Aspergillus thermomutatus', 'Aspergillus tubingensis']",Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",Kraken,3,[],Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",Euk,1,"['Malassezia vespertilionis', 'Malassezia japonica']",Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",Metaphlan,3,[],Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",HMS,2,['Malassezia vespertilionis'],Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",FunOMIC,3,[],Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",MiCoP,0,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",Yes
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",Kraken,0,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",No
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",Euk,0,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",Yes
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",Metaphlan,0,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",No
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",HMS,0,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",No
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",FunOMIC,1,"['Alternaria postmessia', 'Alternaria ethzedia']",Yes
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",MiCoP,0,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",No
median_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces paradoxus']",Kraken,2,[],Yes
median_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces paradoxus']",Euk,1,['Saccharomyces paradoxus'],Yes
median_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces paradoxus']",Metaphlan,2,[],Yes
median_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces paradoxus']",HMS,0,"['Saccharomyces cerevisiae', 'Saccharomyces paradoxus']",No
median_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces paradoxus']",FunOMIC,2,[],Yes
median_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces paradoxus']",MiCoP,1,['Saccharomyces paradoxus'],Yes
median_1,EqualReads,Kazachstania,2,"['Huiozyma naganishii', 'Kazachstania africana']",Kraken,2,[],Yes
median_1,EqualReads,Kazachstania,2,"['Huiozyma naganishii', 'Kazachstania africana']",Euk,1,['Huiozyma naganishii'],Yes
median_1,EqualReads,Kazachstania,2,"['Huiozyma naganishii', 'Kazachstania africana']",Metaphlan,0,"['Huiozyma naganishii', 'Kazachstania africana']",No
median_1,EqualReads,Kazachstania,2,"['Huiozyma naganishii', 'Kazachstania africana']",HMS,0,"['Huiozyma naganishii', 'Kazachstania africana']",No
median_1,EqualReads,Kazachstania,2,"['Huiozyma naganishii', 'Kazachstania africana']",FunOMIC,1,['Huiozyma naganishii'],Yes
median_1,EqualReads,Kazachstania,2,"['Huiozyma naganishii', 'Kazachstania africana']",MiCoP,2,[],Yes
median_1,EqualReads,Candida,2,"['Candida albicans', 'Candida parapsilosis']",Kraken,1,['Candida parapsilosis'],Yes
median_1,EqualReads,Candida,2,"['Candida albicans', 'Candida parapsilosis']",Euk,1,['Candida albicans'],Yes
median_1,EqualReads,Candida,2,"['Candida albicans', 'Candida parapsilosis']",Metaphlan,2,[],Yes
median_1,EqualReads,Candida,2,"['Candida albicans', 'Candida parapsilosis']",HMS,2,[],Yes
median_1,EqualReads,Candida,2,"['Candida albicans', 'Candida parapsilosis']",FunOMIC,2,[],Yes
median_1,EqualReads,Candida,2,"['Candida albicans', 'Candida parapsilosis']",MiCoP,1,['Candida parapsilosis'],Yes
median_1,EqualReads,Cryptococcus,2,"['Cryptococcus wingfieldii', 'Cryptococcus neoformans']",Kraken,1,['Cryptococcus wingfieldii'],Yes
median_1,EqualReads,Cryptococcus,2,"['Cryptococcus wingfieldii', 'Cryptococcus neoformans']",Euk,2,[],Yes
median_1,EqualReads,Cryptococcus,2,"['Cryptococcus wingfieldii', 'Cryptococcus neoformans']",Metaphlan,1,['Cryptococcus neoformans'],Yes
median_1,EqualReads,Cryptococcus,2,"['Cryptococcus wingfieldii', 'Cryptococcus neoformans']",HMS,1,['Cryptococcus wingfieldii'],Yes
median_1,EqualReads,Cryptococcus,2,"['Cryptococcus wingfieldii', 'Cryptococcus neoformans']",FunOMIC,2,[],Yes
median_1,EqualReads,Cryptococcus,2,"['Cryptococcus wingfieldii', 'Cryptococcus neoformans']",MiCoP,2,[],No
median_1,EqualReads,Pneumocystis,2,"['Pneumocystis murina', 'Pneumocystis jirovecii']",Kraken,0,"['Pneumocystis murina', 'Pneumocystis jirovecii']",No
median_1,EqualReads,Pneumocystis,2,"['Pneumocystis murina', 'Pneumocystis jirovecii']",Euk,1,['Pneumocystis murina'],Yes
median_1,EqualReads,Pneumocystis,2,"['Pneumocystis murina', 'Pneumocystis jirovecii']",Metaphlan,2,[],Yes
median_1,EqualReads,Pneumocystis,2,"['Pneumocystis murina', 'Pneumocystis jirovecii']",HMS,1,['Pneumocystis murina'],Yes
median_1,EqualReads,Pneumocystis,2,"['Pneumocystis murina', 'Pneumocystis jirovecii']",FunOMIC,2,[],Yes
median_1,EqualReads,Pneumocystis,2,"['Pneumocystis murina', 'Pneumocystis jirovecii']",MiCoP,2,[],Yes
median_1,EqualReads,Eremothecium,2,"['Eremothecium cymbalariae', 'Eremothecium sinecaudum']",Kraken,2,[],Yes
median_1,EqualReads,Eremothecium,2,"['Eremothecium cymbalariae', 'Eremothecium sinecaudum']",Euk,1,['Eremothecium sinecaudum'],Yes
median_1,EqualReads,Eremothecium,2,"['Eremothecium cymbalariae', 'Eremothecium sinecaudum']",Metaphlan,0,"['Eremothecium cymbalariae', 'Eremothecium sinecaudum']",No
median_1,EqualReads,Eremothecium,2,"['Eremothecium cymbalariae', 'Eremothecium sinecaudum']",HMS,0,"['Eremothecium cymbalariae', 'Eremothecium sinecaudum']",No
median_1,EqualReads,Eremothecium,2,"['Eremothecium cymbalariae', 'Eremothecium sinecaudum']",FunOMIC,2,[],Yes
median_1,EqualReads,Eremothecium,2,"['Eremothecium cymbalariae', 'Eremothecium sinecaudum']",MiCoP,2,[],Yes
median_2,EqualReads,Ogataea,4,"['Ogataea philodendri', 'Ogataea angusta', 'Ogataea polymorpha', 'Ogataea haglerorum']",Kraken,0,"['Ogataea philodendri', 'Ogataea angusta', 'Ogataea polymorpha', 'Ogataea haglerorum']",Yes
median_2,EqualReads,Ogataea,4,"['Ogataea philodendri', 'Ogataea angusta', 'Ogataea polymorpha', 'Ogataea haglerorum']",Euk,2,"['Ogataea angusta', 'Ogataea haglerorum']",Yes
median_2,EqualReads,Ogataea,4,"['Ogataea philodendri', 'Ogataea angusta', 'Ogataea polymorpha', 'Ogataea haglerorum']",Metaphlan,0,"['Ogataea philodendri', 'Ogataea angusta', 'Ogataea polymorpha', 'Ogataea haglerorum']",No
median_2,EqualReads,Ogataea,4,"['Ogataea philodendri', 'Ogataea angusta', 'Ogataea polymorpha', 'Ogataea haglerorum']",HMS,0,"['Ogataea philodendri', 'Ogataea angusta', 'Ogataea polymorpha', 'Ogataea haglerorum']",No
median_2,EqualReads,Ogataea,4,"['Ogataea philodendri', 'Ogataea angusta', 'Ogataea polymorpha', 'Ogataea haglerorum']",FunOMIC,2,"['Ogataea angusta', 'Ogataea haglerorum']",Yes
median_2,EqualReads,Ogataea,4,"['Ogataea philodendri', 'Ogataea angusta', 'Ogataea polymorpha', 'Ogataea haglerorum']",MiCoP,1,"['Ogataea philodendri', 'Ogataea angusta', 'Ogataea haglerorum']",Yes
median_2,EqualReads,Aspergillus,4,"['Aspergillus lentulus', 'Aspergillus fischeri', 'Aspergillus aculeatinus', 'Aspergillus candidus']",Kraken,0,"['Aspergillus lentulus', 'Aspergillus fischeri', 'Aspergillus aculeatinus', 'Aspergillus candidus']",Yes
median_2,EqualReads,Aspergillus,4,"['Aspergillus lentulus', 'Aspergillus fischeri', 'Aspergillus aculeatinus', 'Aspergillus candidus']",Euk,4,[],Yes
median_2,EqualReads,Aspergillus,4,"['Aspergillus lentulus', 'Aspergillus fischeri', 'Aspergillus aculeatinus', 'Aspergillus candidus']",Metaphlan,3,['Aspergillus aculeatinus'],Yes
