#mpa_vJun23_CHOCOPhlAnSGB_202307
#/fp/homes01/u01/ec-ekateria/ec34/katya/envs/metaphlan406/bin/metaphlan --input_type fastq --bowtie2db /projects/ec34/crcbiome/db/biobakery/jun24/metaphlan/ --bowtie2out /projects/ec34/katya/projects/Mock_fungal/data/metaphlan/equal_reads_metagenomes/median_3.bz2 -o /projects/ec34/katya/projects/Mock_fungal/data/metaphlan/equal_reads_metagenomes/median_3.txt /projects/ec34/katya/projects/Mock_fungal/data/equal_reads_metagenomes/median_3_1.fq,/projects/ec34/katya/projects/Mock_fungal/data/equal_reads_metagenomes/median_3_2.fq
#10000000 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Eukaryota	2759	100.0	
k__Eukaryota|p__Ascomycota	2759|4890	67.60214	
k__Eukaryota|p__Basidiomycota	2759|5204	32.39786	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	57.00587	
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes	2759|5204|1538075	30.1573	
k__Eukaryota|p__Ascomycota|c__Pneumocystidomycetes	2759|4890|147553	7.39196	
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes	2759|4890|147545	3.20431	
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes	2759|5204|155616	2.24056	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	57.00587	
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	2759|5204|1538075|162474	30.1573	
k__Eukaryota|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales	2759|4890|147553|37987	7.39196	
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	2759|4890|147545|5042	3.20431	
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	2759|5204|155616|5234	2.24056	
