Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae|genus-Ascochyta	genus	Ascochyta	5453	3.5643	0.7748	1279	358833
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae|genus-Ascochyta|species-Ascochyta_rabiei	species	Ascochyta rabiei	5454	3.5643	0.6678	1279	358833
phylum-Ascomycota|class-Dothideomycetes|order-Venturiales	order	Venturiales	1111111	4.7527	5.0049	1685	354536
phylum-Ascomycota|class-Dothideomycetes|order-Venturiales|family-Sympoventuriaceae|genus-Verruconis	genus	Verruconis	1494215	4.7527	1.0331	1685	354536
phylum-Ascomycota|class-Dothideomycetes|order-Venturiales|family-Sympoventuriaceae|genus-Verruconis|species-Verruconis_gallopava	species	Verruconis gallopava	253628	4.7527	0.8904	1685	354536
phylum-Ascomycota|class-Xylonomycetes	class	Xylonomycetes	1217819	5.9857	7.9994	2041	340982
phylum-Ascomycota|class-Xylonomycetes|order-Xylonales	order	Xylonales	1217820	5.9857	6.3033	2041	340982
phylum-Ascomycota|class-Xylonomycetes|order-Xylonales|family-Xylonaceae|genus-Xylona	genus	Xylona	1217823	5.9857	1.3011	2041	340982
phylum-Ascomycota|class-Xylonomycetes|order-Xylonales|family-Xylonaceae|genus-Xylona|species-Xylona_heveae	species	Xylona heveae	1217826	5.9857	1.1214	2041	340982
phylum-Basidiomycota	phylum	Basidiomycota	5204	9.3504	42.8919	45769	4894873
phylum-Basidiomycota|class-Tremellomycetes	class	Tremellomycetes	155616	3.8317	5.1208	10083	2631451
phylum-Basidiomycota|class-Tremellomycetes|order-Trichosporonales	order	Trichosporonales	1851469	5.5544	5.8492	1538	276899
phylum-Basidiomycota|class-Tremellomycetes|order-Trichosporonales|family-Trichosporonaceae|genus-Trichosporon	genus	Trichosporon	5552	5.5544	1.2074	1538	276899
phylum-Basidiomycota|class-Tremellomycetes|order-Trichosporonales|family-Trichosporonaceae|genus-Trichosporon|species-Trichosporon_asahii	species	Trichosporon asahii	82508	5.6813	1.0644	1535	270184
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales	order	Tremellales	5234	3.6291	3.8217	8545	2354552
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus	genus	Cryptococcus	5206	3.051	0.6632	3350	1098000
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_gattii_VGI	species	Cryptococcus gattii VGI	37769	3.5894	0.6725	976	271912
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_gattii_VGII	species	Cryptococcus gattii VGII	1859096	3.2508	0.609	903	277776
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_wingfieldii	species	Cryptococcus wingfieldii	5619	3.8491	0.7211	1107	287603
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Kwoniella	genus	Kwoniella	490731	4.1343	0.8987	5195	1256552
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Kwoniella|species-Kwoniella_mangrovensis	species	Kwoniella mangrovensis	463800	4.442	0.8322	1477	332510
phylum-Basidiomycota|class-Agaricomycetes	class	Agaricomycetes	155619	2.7619	3.6911	905	327669
phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales	order	Agaricales	5338	2.7619	2.9085	905	327669
phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Schizophyllaceae|genus-Schizophyllum	genus	Schizophyllum	5333	2.7619	0.6004	905	327669
phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Schizophyllaceae|genus-Schizophyllum|species-Schizophyllum_commune	species	Schizophyllum commune	5334	2.7619	0.5174	905	327669
