Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Ascomycota	phylum	Ascomycota	4890	8.6343	40.7209	87752	10163152
phylum-Ascomycota|class-Eurotiomycetes	class	Eurotiomycetes	147545	3.6305	5.0831	9815	2703496
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales	order	Onygenales	33183	3.7993	4.6071	2533	666703
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Ajellomycetaceae|genus-Histoplasma	genus	Histoplasma	5036	3.1415	1.1707	865	275342
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Ajellomycetaceae|genus-Histoplasma|species-Histoplasma_capsulatum	species	Histoplasma capsulatum	5037	3.1415	1.0574	865	275342
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Trichophyton	genus	Trichophyton	5550	4.262	1.5883	1668	391361
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Trichophyton|species-Trichophyton_benhamiae	species	Trichophyton benhamiae	63400	4.9011	1.6496	1515	309113
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales	order	Eurotiales	5042	3.0722	3.7254	5086	1655509
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus	genus	Aspergillus	5052	3.6201	1.3491	4639	1281467
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_tubingensis	species	Aspergillus tubingensis	5068	1.5814	0.5323	168	106233
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_terreus	species	Aspergillus terreus	33178	3.9842	1.341	1329	333569
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_glaucus	species	Aspergillus glaucus	41413	4.5448	1.5297	1531	336867
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_thermomutatus	species	Aspergillus thermomutatus	41047	4.195	1.412	1485	353994
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_costaricaensis	species	Aspergillus costaricaensis	319631	0.6109	0.2056	8	13095
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Penicillium	genus	Penicillium	5073	1.1951	0.4453	447	374042
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Penicillium|species-Penicillium_chrysogenum	species	Penicillium chrysogenum	5076	1.2121	0.408	436	359693
phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales	order	Chaetothyriales	34395	5.7595	6.9841	2196	381284
phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Cyphellophoraceae|genus-Cyphellophora	genus	Cyphellophora	226991	5.7595	2.1463	2196	381284
phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Cyphellophoraceae|genus-Cyphellophora|species-Cyphellophora_europaea	species	Cyphellophora europaea	293227	5.7595	1.9385	2196	381284
phylum-Ascomycota|class-Leotiomycetes	class	Leotiomycetes	147548	1.2709	1.7795	810	637324
phylum-Ascomycota|class-Leotiomycetes|order-Helotiales	order	Helotiales	5178	1.2709	1.5412	810	637324
phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Rutstroemiaceae|genus-Rutstroemia	genus	Rutstroemia	38452	0.0135	0.005	4	295747
phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Rutstroemiaceae|genus-Rutstroemia|species-Rutstroemia_sydowiana	species	Rutstroemia sydowiana	54687	0.0135	0.0046	4	295747
phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Sclerotiniaceae|genus-Botrytis	genus	Botrytis	33196	2.3596	0.8793	806	341577
phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Sclerotiniaceae|genus-Botrytis|species-Botrytis_porri	species	Botrytis porri	87229	2.3596	0.7942	806	341577
phylum-Ascomycota|class-Sordariomycetes	class	Sordariomycetes	147550	2.5832	3.6167	1686	652690
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales	order	Sordariales	5139	3.3554	4.0688	1379	410982
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora	genus	Neurospora	5140	0.6499	0.2422	55	84623
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora|species-Neurospora_sublineolata	species	Neurospora sublineolata	165293	0.8155	0.2745	36	44147
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Chaetomiaceae|genus-Chaetomium	genus	Chaetomium	5149	4.0569	1.5118	1324	326359
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Chaetomiaceae|genus-Chaetomium|species-Chaetomium_globosum	species	Chaetomium globosum	38033	4.1146	1.3849	1319	320567
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales	order	Hypocreales	5125	1.2701	1.5402	307	241708
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium	genus	Fusarium	5506	1.2701	0.4733	307	241708
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium|species-Fusarium_proliferatum	species	Fusarium proliferatum	948311	1.5839	0.5331	210	132583
phylum-Ascomycota|class-Dothideomycetes	class	Dothideomycetes	147541	1.3017	1.8225	520	399478
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales	order	Pleosporales	92860	1.3017	1.5785	520	399478
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria	genus	Alternaria	5598	1.3017	0.4851	520	399478
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria|species-Alternaria_alternata	species	Alternaria alternata	5599	0.4493	0.1512	59	131319
phylum-Ascomycota|class-Saccharomycetes	class	Saccharomycetes	4891	13.1447	18.4042	69168	5262037
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales	order	Saccharomycetales	4892	13.1447	15.9397	69168	5262037
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Zygotorulaspora	genus	Zygotorulaspora	1196389	15.4393	5.7536	5214	337710
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Zygotorulaspora|species-Zygotorulaspora_mrakii	species	Zygotorulaspora mrakii	42260	15.4393	5.1966	5214	337710
