Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Mucoromycota	phylum	Mucoromycota	1913637	3.8336	4.3705	2029	529274
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Rhizopodaceae|genus-Rhizopus|species-Rhizopus_microsporus	species	Rhizopus microsporus	58291	3.9454	0.6156	981	248644
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Mucoraceae|genus-Cokeromyces|species-Cokeromyces_recurvatus	species	Cokeromyces recurvatus	90255	4.1222	0.6432	975	236522
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Mucoraceae|genus-Mucor|species-Mucor_racemosus	species	Mucor racemosus	4841	0.7837	0.1223	9	11484
phylum-Microsporidia	phylum	Microsporidia	6029	66.6207	75.9511	4251	63809
phylum-Microsporidia|family-Unikaryonidae|genus-Encephalitozoon|species-Encephalitozoon_cuniculi	species	Encephalitozoon cuniculi	6035	66.6207	10.3945	4251	63809
phylum-Ascomycota	phylum	Ascomycota	4890	8.7695	9.9976	183751	20953530
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora|species-Neurospora_tetrasperma	species	Neurospora tetrasperma	40127	2.9551	0.4611	925	313023
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Sordaria|species-Sordaria_macrospora	species	Sordaria macrospora	5147	3.9594	0.6178	1339	338179
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Chaetomiaceae|genus-Chaetomium|species-Chaetomium_globosum	species	Chaetomium globosum	38033	3.9604	0.6179	1289	325472
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium|species-Fusarium_proliferatum	species	Fusarium proliferatum	948311	1.5113	0.2358	221	146233
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Cordycipitaceae|genus-Beauveria|species-Beauveria_bassiana	species	Beauveria bassiana	176275	2.466	0.3848	523	212086
phylum-Ascomycota|class-Sordariomycetes|order-Microascales|family-Microascaceae|genus-Scedosporium|species-Scedosporium_apiospermum	species	Scedosporium apiospermum	563466	2.6931	0.4202	981	364265
phylum-Ascomycota|class-Sordariomycetes|order-Glomerellales|family-Plectosphaerellaceae|genus-Verticillium|species-Verticillium_alfalfae	species	Verticillium alfalfae	1051613	2.7479	0.4287	603	219444
phylum-Ascomycota|class-Sordariomycetes|order-Xylariales|genus-Phialemoniopsis|species-Phialemoniopsis_curvata	species	Phialemoniopsis curvata	1093900	3.723	0.5809	1366	366905
phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Sclerotiniaceae|genus-Botrytis|species-Botrytis_porri	species	Botrytis porri	87229	2.2367	0.349	764	341577
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_thermomutatus	species	Aspergillus thermomutatus	41047	4.1413	0.6461	1466	353994
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Trichocomaceae|genus-Talaromyces|species-Talaromyces_marneffei	species	Talaromyces marneffei	37727	4.9783	0.7767	1725	346502
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Thermoascaceae|genus-Byssochlamys|species-Byssochlamys_spectabilis	species	Byssochlamys spectabilis	264951	4.7873	0.7469	1706	356356
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Ajellomycetaceae|genus-Blastomyces|species-Blastomyces_gilchristii	species	Blastomyces gilchristii	1681229	0.8101	0.1264	17	20986
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|genus-Coccidioides|species-Coccidioides_posadasii	species	Coccidioides posadasii	199306	2.3406	0.3652	443	189270
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|genus-Paracoccidioides|species-Paracoccidioides_brasiliensis	species	Paracoccidioides brasiliensis	121759	4.0124	0.626	1379	343685
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Trichophyton|species-Trichophyton_benhamiae	species	Trichophyton benhamiae	63400	4.6115	0.7195	1410	305756
phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Herpotrichiellaceae|genus-Fonsecaea|species-Fonsecaea_monophora	species	Fonsecaea monophora	254056	2.5265	0.3942	913	361375
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria|species-Alternaria_alternata	species	Alternaria alternata	5599	0.4188	0.0653	55	131319
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae|genus-Ascochyta|species-Ascochyta_rabiei	species	Ascochyta rabiei	5454	3.2717	0.5105	1174	358833
phylum-Ascomycota|class-Dothideomycetes|order-Venturiales|family-Sympoventuriaceae|genus-Verruconis|species-Verruconis_gallopava	species	Verruconis gallopava	253628	4.9191	0.7675	1744	354536
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_eubayanus	species	Saccharomyces eubayanus	1080349	13.6985	2.1373	4167	304194
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_cerevisiae	species	Saccharomyces cerevisiae	4932	14.0497	2.1921	4321	307552
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Eremothecium|species-Eremothecium_gossypii	species	Eremothecium gossypii	33169	18.3135	2.8574	6198	338439
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Naumovozyma|species-Naumovozyma_castellii	species	Naumovozyma castellii	27288	14.9539	2.3332	4713	315169
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Lachancea|species-Lachancea_thermotolerans	species	Lachancea thermotolerans	381046	15.9793	2.4932	5285	330741
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Zygotorulaspora|species-Zygotorulaspora_mrakii	species	Zygotorulaspora mrakii	42260	15.7324	2.4546	5313	337710
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|species-Saccharomycetaceae_sp._'Ashbya_aceri'	species	Saccharomycetaceae sp. 'Ashbya aceri'	566037	0.014	0.0022	5	356280
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Tetrapisispora|species-Tetrapisispora_phaffii	species	Tetrapisispora phaffii	113608	13.9678	2.1793	4101	293603
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Kazachstania|species-Kazachstania_naganishii	species	Kazachstania naganishii	588726	15.4807	2.4154	4812	310838
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Kluyveromyces|species-Kluyveromyces_marxianus	species	Kluyveromyces marxianus	4911	15.0941	2.3551	4437	293955
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Zygosaccharomyces|species-Zygosaccharomyces_rouxii	species	Zygosaccharomyces rouxii	4956	11.4127	1.7807	1723	150972
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Nakaseomyces|species-[Candida]_glabrata	species	[Candida] glabrata	5478	13.6369	2.1277	3790	277922
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Scheffersomyces|species-Scheffersomyces_stipitis	species	Scheffersomyces stipitis	4924	10.7751	1.6812	3805	353128
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Meyerozyma|species-Meyerozyma_caribbica	species	Meyerozyma caribbica	66948	7.3048	1.1397	768	105137
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Spathaspora|species-Spathaspora_passalidarum	species	Spathaspora passalidarum	340170	12.0616	1.8819	3673	304520
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Yamadazyma|species-Yamadazyma_tenuis	species	Yamadazyma tenuis	2315449	15.5044	2.4191	5921	381891
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Candida|species-Candida_tropicalis	species	Candida tropicalis	5482	11.2559	1.7562	3365	298955
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Hyphopichia|species-Hyphopichia_burtonii	species	Hyphopichia burtonii	717740	13.0644	2.0384	4459	341310
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Babjeviella|species-Babjeviella_inositovora	species	Babjeviella inositovora	45609	11.5392	1.8004	3782	327752
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Suhomyces|species-Suhomyces_tanzawaensis	species	Suhomyces tanzawaensis	46583	12.5524	1.9585	4450	354513
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Debaryomyces|species-Debaryomyces_hansenii	species	Debaryomyces hansenii	4959	12.991	2.0269	4217	324609
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Ogataea|species-Ogataea_parapolymorpha	species	Ogataea parapolymorpha	1005962	17.7421	2.7682	5551	312871
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Ogataea|species-Ogataea_polymorpha	species	Ogataea polymorpha	460523	17.0854	2.6657	5539	324195
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Pichia|species-Pichia_kudriavzevii	species	Pichia kudriavzevii	4909	15.1164	2.3585	4524	299278
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Brettanomyces|species-Brettanomyces_bruxellensis	species	Brettanomyces bruxellensis	5007	12.2276	1.9078	3915	320177
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycodaceae|genus-Saccharomycodes|species-Saccharomycodes_ludwigii	species	Saccharomycodes ludwigii	36035	13.9173	2.1714	3810	273760
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Wickerhamomyces|species-Wickerhamomyces_ciferrii	species	Wickerhamomyces ciferrii	1041607	8.8231	1.3766	2394	271332
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Metschnikowiaceae|genus-Clavispora|species-Clavispora_lusitaniae	species	Clavispora lusitaniae	36911	13.6812	2.1346	4368	319270
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Metschnikowiaceae|genus-Metschnikowia|species-Metschnikowia_bicuspidata	species	Metschnikowia bicuspidata	27322	10.2381	1.5974	3103	303085
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Dipodascaceae|genus-Saprochaete|species-Saprochaete_ingens	species	Saprochaete ingens	2606893	8.1096	1.2653	2831	349094
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|genus-Diutina|species-Diutina_rugosa	species	Diutina rugosa	5481	12.7381	1.9875	4157	326345
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Ascoideaceae|genus-Ascoidea|species-Ascoidea_rubescens	species	Ascoidea rubescens	54195	8.642	1.3484	2584	299005
phylum-Ascomycota|class-Pneumocystidomycetes|order-Pneumocystidales|family-Pneumocystidaceae|genus-Pneumocystis|species-Pneumocystis_carinii	species	Pneumocystis carinii	4754	11.941	1.8631	2935	245791
phylum-Basidiomycota	phylum	Basidiomycota	5204	8.4916	9.6808	48540	5716268
