Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Ascomycota|class-Pneumocystidomycetes|order-Pneumocystidales|family-Pneumocystidaceae|genus-Pneumocystis|species-Pneumocystis_jirovecii	species	Pneumocystis jirovecii	42068	12.1151	1.4786	3043	251174
phylum-Ascomycota|class-Pneumocystidomycetes|order-Pneumocystidales|family-Pneumocystidaceae|genus-Pneumocystis|species-Pneumocystis_carinii	species	Pneumocystis carinii	4754	12.4307	1.5171	3058	246004
phylum-Basidiomycota	phylum	Basidiomycota	5204	9.1345	10.4538	72278	7912598
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_neoformans	species	Cryptococcus neoformans	5207	5.0361	0.6146	1509	299638
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Kwoniella|species-Kwoniella_mangrovensis	species	Kwoniella mangrovensis	463800	4.6706	0.57	1531	327794
phylum-Basidiomycota|class-Tremellomycetes|order-Trichosporonales|family-Trichosporonaceae|genus-Trichosporon|species-Trichosporon_asahii	species	Trichosporon asahii	82508	5.4631	0.6667	1473	269626
phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Schizophyllaceae|genus-Schizophyllum|species-Schizophyllum_commune	species	Schizophyllum commune	5334	2.8393	0.3465	942	331777
phylum-Basidiomycota|class-Ustilaginomycetes|order-Ustilaginales|family-Ustilaginaceae|genus-Pseudozyma|species-Pseudozyma_hubeiensis	species	Pseudozyma hubeiensis	327079	7.8151	0.9538	3018	386177
phylum-Basidiomycota|class-Exobasidiomycetes|order-Exobasidiales|family-Cryptobasidiaceae|genus-Acaromyces|species-Acaromyces_ingoldii	species	Acaromyces ingoldii	215250	7.0568	0.8613	2601	368580
phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia|species-Malassezia_restricta	species	Malassezia restricta	76775	22.0977	2.6969	7697	348317
phylum-Basidiomycota|class-Wallemiomycetes|order-Wallemiales|family-Wallemiaceae|genus-Wallemia|species-Wallemia_ichthyophaga	species	Wallemia ichthyophaga	245174	13.7401	1.6769	4436	322851
phylum-Basidiomycota|class-Microbotryomycetes|order-Sporidiobolales|family-Sporidiobolaceae|genus-Rhodotorula|species-Rhodotorula_toruloides	species	Rhodotorula toruloides	5286	5.0987	0.6223	1838	360486
