Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Ascomycota	phylum	Ascomycota	4890	14.6875	37.6984	168722	11487476
phylum-Ascomycota|class-Eurotiomycetes	class	Eurotiomycetes	147545	12.1243	9.3073	37317	3077873
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales	order	Onygenales	33183	11.5344	6.8413	8604	745943
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Ajellomycetaceae|genus-Histoplasma	genus	Histoplasma	5036	12.0145	2.4577	3684	306629
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Ajellomycetaceae|genus-Histoplasma|species-Histoplasma_capsulatum	species	Histoplasma capsulatum	5037	12.0145	2.1364	3684	306629
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Trichophyton	genus	Trichophyton	5550	11.1993	2.291	4920	439314
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Trichophyton|species-Trichophyton_benhamiae	species	Trichophyton benhamiae	63400	13.7797	2.4502	4411	320108
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales	order	Eurotiales	5042	10.5253	6.2427	20438	1941799
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus	genus	Aspergillus	5052	12.0851	2.4722	18556	1535447
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_tubingensis	species	Aspergillus tubingensis	5068	4.2204	0.7504	736	174393
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_terreus	species	Aspergillus terreus	33178	14.4629	2.5717	5107	353111
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_glaucus	species	Aspergillus glaucus	41413	17.2595	3.069	6075	351981
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_thermomutatus	species	Aspergillus thermomutatus	41047	17.4071	3.0952	6162	353994
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_costaricaensis	species	Aspergillus costaricaensis	319631	0.6727	0.1196	28	41625
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Penicillium	genus	Penicillium	5073	4.6315	0.9474	1882	406352
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Penicillium|species-Penicillium_chrysogenum	species	Penicillium chrysogenum	5076	5.0627	0.9002	1821	359693
phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales	order	Chaetothyriales	34395	21.2108	12.5805	8275	390131
phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Cyphellophoraceae|genus-Cyphellophora	genus	Cyphellophora	226991	21.2108	4.339	8275	390131
