Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_amylolentus	species	Cryptococcus amylolentus	104669	9.6647	1.6121	3035	314029
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Kwoniella	genus	Kwoniella	490731	11.4585	2.2398	3431	299428
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Kwoniella|species-Kwoniella_pini	species	Kwoniella pini	453459	11.4585	1.9113	3431	299428
phylum-Basidiomycota|class-Agaricomycetes	class	Agaricomycetes	155619	12.8516	10.246	4581	356455
phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales	order	Agaricales	5338	12.8516	8.1875	4581	356455
phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Schizophyllaceae	family	Schizophyllaceae	5332	12.8516	4.2536	4581	356455
phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Schizophyllaceae|genus-Schizophyllum	genus	Schizophyllum	5333	12.8516	2.5121	4581	356455
phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Schizophyllaceae|genus-Schizophyllum|species-Schizophyllum_commune	species	Schizophyllum commune	5334	12.8516	2.1436	4581	356455
phylum-Basidiomycota|class-Microbotryomycetes	class	Microbotryomycetes	162481	12.8258	10.2255	4751	370425
phylum-Basidiomycota|class-Microbotryomycetes|order-Sporidiobolales	order	Sporidiobolales	231213	12.8258	8.1711	4751	370425
phylum-Basidiomycota|class-Microbotryomycetes|order-Sporidiobolales|family-Sporidiobolaceae	family	Sporidiobolaceae	1799696	12.8258	4.2451	4751	370425
phylum-Basidiomycota|class-Microbotryomycetes|order-Sporidiobolales|family-Sporidiobolaceae|genus-Rhodotorula	genus	Rhodotorula	5533	12.8258	2.507	4751	370425
phylum-Basidiomycota|class-Microbotryomycetes|order-Sporidiobolales|family-Sporidiobolaceae|genus-Rhodotorula|species-Rhodotorula_toruloides	species	Rhodotorula toruloides	5286	12.8258	2.1393	4751	370425
phylum-Basidiomycota|class-Malasseziomycetes	class	Malasseziomycetes	1538075	21.6201	17.2369	14539	672475
phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales	order	Malasseziales	162474	21.6201	13.7737	14539	672475
phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae	family	Malasseziaceae	742845	21.6201	7.1559	14539	672475
phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia	genus	Malassezia	55193	21.6201	4.2261	14539	672475
phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia|species-Malassezia_restricta	species	Malassezia restricta	76775	21.6297	3.6078	7534	348317
