,MockCommunity,GeneratedReads,NumSpecies,NumGenera,NumFamily,TDSpecies,TDGenera,TDFamily,FDSpecies,FDGenera,FDFamily,RecallSpecies,PrecisionSpecies,RecallGenera,PrecisionGenera,RecallFamily,PrecisionFamily
0,small_1,1000000.0,10.0,9.0,6.0,7.0,8.0,6.0,2.0,0.0,0.0,70.0,77.77777777777779,88.88888888888889,100.0,100.0,100.0
1,median_2,5000000.0,50.0,37.0,25.0,27.0,23.0,17.0,9.0,6.0,1.0,54.0,75.0,62.16216216216216,79.3103448275862,68.0,94.44444444444444
2,median_1,5000000.0,50.0,33.0,22.0,27.0,23.0,17.0,17.0,9.0,2.0,54.0,61.36363636363637,69.6969696969697,71.875,77.27272727272727,89.47368421052632
3,small_3,1000000.0,10.0,9.0,7.0,5.0,6.0,5.0,3.0,1.0,0.0,50.0,62.5,66.66666666666666,85.71428571428571,71.42857142857143,100.0
4,small_2,1000000.0,10.0,9.0,6.0,8.0,9.0,4.0,3.0,0.0,1.0,80.0,72.72727272727273,100.0,100.0,66.66666666666666,80.0
5,large_2,10000000.0,100.0,59.0,33.0,57.0,40.0,22.0,14.0,10.0,3.0,56.99999999999999,80.28169014084507,67.79661016949152,80.0,66.66666666666666,88.0
6,complete_1,16500000.0,165.0,90.0,50.0,94.0,60.0,30.0,16.0,12.0,5.0,56.96969696969697,85.45454545454545,66.66666666666666,83.33333333333334,60.0,85.71428571428571
7,median_3,5000000.0,50.0,36.0,20.0,37.0,27.0,13.0,10.0,4.0,3.0,74.0,78.72340425531915,75.0,87.09677419354838,65.0,81.25
8,large_1,10000000.0,100.0,67.0,44.0,60.0,45.0,27.0,18.0,11.0,2.0,60.0,76.92307692307693,67.16417910447761,80.35714285714286,61.36363636363637,93.10344827586206
